date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:26	9954/9954	---M-Z	200	added ('OK')	text/html	etag:%228640200-26e2-54dbbe564b2c6-gzip%22	http://www.chattifi.com/	/home/tits/websites/Israel%20mobile%20app/www.chattifi.com/index.html	(from )
01:03:27	76/76	---MCZ	200	added ('OK')	text/plain	date:Wed,%2027%20Dec%202017%2023:03:26%20GMT	http://www.aydrate.com/robots.txt		(from )
01:03:27	41166/41166	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2023:03:27%20GMT	http://www.aydrate.com/	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/index.html	(from )
01:03:29	66918/66918	---M--	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2023:03:28%20GMT	http://www.bapp.co.il/	/home/tits/websites/Israel%20mobile%20app/www.bapp.co.il/index.html	(from )
01:03:30	17162/17162	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2023:03:27%20GMT	http://taltop.com/	/home/tits/websites/Israel%20mobile%20app/taltop.com/index.html	(from )
01:03:30	11837/11837	---M-Z	200	added ('OK')	text/html	etag:%225e017a6-2e3d-5490c7cd64cac-gzip%22	http://helpi.io/	/home/tits/websites/Israel%20mobile%20app/helpi.io/index.html	(from )
01:03:31	5842/5842	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2023:03:30%20GMT	http://gmpg.org/xfn/11	/home/tits/websites/Israel%20mobile%20app/gmpg.org/xfn/11.html	(from http://www.aydrate.com/)
01:03:31	151322/151322	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2023:03:26%20GMT	http://www.kado.tech/	/home/tits/websites/Israel%20mobile%20app/www.kado.tech/index.html	(from )
01:03:32	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2027%20Dec%202017%2023:03:31%20GMT	http://www.aydrate.com/xmlrpc.php	/home/tits/websites/Israel%20mobile%20app/www.aydrate.com/xmlrpc.1.delayed	(from http://www.aydrate.com/)
01:03:32	164870/164870	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2023:03:28%20GMT	https://matchpool.co/	/home/tits/websites/Israel%20mobile%20app/matchpool.co/index.html	(from )
